127.0.0.1 - - [13/Nov/2024:19:17:22 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:17:23 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:17:24 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:17:25 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 4996
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:17:25 -0300] "GET /OlaMundo2/cadastroapi/img/edit.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:17:25 -0300] "GET /OlaMundo2/cadastroapi/img/delete.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:19:49 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:19:50 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:20:15 -0300] "POST /OlaMundo2/PessoaAPI HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:20:16 -0300] "POST /OlaMundo2/PessoaAPI HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:20:19 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:20:20 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:20:26 -0300] "DELETE /OlaMundo2/PessoaAPI/269 HTTP/1.1" 500 1325
0:0:0:0:0:0:0:1 - - [13/Nov/2024:19:22:48 -0300] "DELETE /OlaMundo2/PessoaAPI/269 HTTP/1.1" 500 1325
